2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> 1INCH:0.173, LRC:0.115, XRP:0.111, CRV:0.100, BTC:-0.085, STORJ:-0.124, GRT:-0.132, ALPHA:-0.158
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AVAX:0.206, DOGE:0.111, ZRX:0.092, SXP:0.090, SOL:-0.047, EGLD:-0.129, COMP:-0.141, AXS:-0.183
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> FLM:0.264, GRT:0.147, CRV:0.066, XMR:0.023, SOL:-0.101, UNI:-0.115, ALPHA:-0.118, 1INCH:-0.166
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AXS:0.149, FLM:0.142, SUSHI:0.134, BAND:0.074, TRX:-0.068, XLM:-0.087, ALGO:-0.100, XRP:-0.245
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ADA:0.156, BAND:0.149, RSR:0.127, XLM:0.067, FLM:-0.080, XRP:-0.100, GRT:-0.116, DOGE:-0.204
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> NEAR:0.180, XRP:0.111, ALPHA:0.105, RSR:0.103, RUNE:-0.108, VET:-0.108, THETA:-0.113, ENJ:-0.171
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> DOGE:0.191, LTC:0.120, DASH:0.096, XRP:0.094, GRT:-0.080, ADA:-0.083, NEAR:-0.153, BAND:-0.184
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SXP:0.152, TRB:0.136, DOT:0.121, AAVE:0.091, VET:-0.086, DASH:-0.088, THETA:-0.096, DOGE:-0.230
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AAVE:0.214, COMP:0.146, DOT:0.072, AVAX:0.068, ZIL:-0.092, TRX:-0.122, RUNE:-0.139, 1INCH:-0.148
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SXP:0.224, ZRX:0.095, RUNE:0.092, FLM:0.089, XTZ:-0.060, DOT:-0.086, ENJ:-0.093, SUSHI:-0.260
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SOL:0.181, KAVA:0.122, ADA:0.113, TRB:0.084, THETA:-0.081, FLM:-0.090, BAND:-0.107, YFI:-0.222
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ZRX:0.132, ENJ:0.128, KNC:0.121, RLC:0.118, IOST:-0.095, CRV:-0.101, BEL:-0.115, RUNE:-0.189
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> CRV:0.157, BEL:0.120, IOST:0.112, ATOM:0.110, FLM:-0.050, ENJ:-0.072, ALPHA:-0.104, ZRX:-0.274
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> IOST:0.322, AXS:0.088, EGLD:0.069, FIL:0.021, LRC:-0.108, IOTA:-0.111, KAVA:-0.132, RLC:-0.149
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> DOGE:0.148, ICX:0.136, KAVA:0.123, AVAX:0.093, AAVE:-0.113, 1INCH:-0.120, ZRX:-0.120, ALPHA:-0.148
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AVAX:0.191, EGLD:0.137, FLM:0.090, SKL:0.083, IOST:-0.101, ADA:-0.108, ALGO:-0.118, ALPHA:-0.173
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> EGLD:0.203, AVAX:0.113, SKL:0.109, AAVE:0.075, RLC:-0.040, XTZ:-0.050, ALPHA:-0.093, DOGE:-0.317
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> RUNE:0.139, BTC:0.135, IOTA:0.129, EGLD:0.098, NEAR:-0.088, SOL:-0.103, SXP:-0.153, ZRX:-0.156
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> FIL:0.228, THETA:0.124, BNB:0.074, RUNE:0.073, SXP:-0.098, ZRX:-0.099, ALGO:-0.134, AVAX:-0.169
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> FIL:0.201, KAVA:0.182, DOGE:0.065, THETA:0.052, ALPHA:-0.109, EGLD:-0.122, AVAX:-0.122, RUNE:-0.147
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AVAX:0.166, GRT:0.139, ZIL:0.106, AXS:0.088, KNC:-0.092, KAVA:-0.112, SKL:-0.122, TRX:-0.174
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AVAX:0.384, ADA:0.060, IOTA:0.048, GRT:0.009, 1INCH:-0.117, STORJ:-0.117, FIL:-0.119, FLM:-0.147
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SXP:0.221, QTUM:0.162, KAVA:0.060, XLM:0.057, TRB:-0.083, FIL:-0.089, ICX:-0.134, AVAX:-0.195
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> YFI:0.160, 1INCH:0.133, KAVA:0.110, BAT:0.098, BNB:-0.065, SOL:-0.083, ICX:-0.084, ENJ:-0.267
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> VET:0.162, FLM:0.129, ZRX:0.116, XMR:0.094, TRB:-0.071, DOGE:-0.083, SKL:-0.169, EGLD:-0.177
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BNB:0.150, NEAR:0.131, GRT:0.127, RLC:0.091, THETA:-0.074, QTUM:-0.090, BEL:-0.121, AVAX:-0.214
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ALGO:0.135, XLM:0.134, GRT:0.127, NEAR:0.104, SNX:-0.098, ATOM:-0.124, RUNE:-0.133, YFI:-0.145
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SKL:0.221, ICX:0.180, VET:0.058, XMR:0.041, NEAR:-0.094, STORJ:-0.118, IOST:-0.127, ALPHA:-0.162
