2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ADA:0.069, SOL:0.064, LTC:0.047, SUSHI:0.035, SAND:0.029, ETH:0.029, BNB:0.028, RSR:0.027, DOT:0.027, QTUM:-0.028, RUNE:-0.028, VET:-0.028, XLM:-0.028, IOTA:-0.028, LINK:-0.028, BTC:-0.028, THETA:-0.028, ATOM:-0.028, XTZ:-0.028, XRP:-0.028, ETC:-0.028, FIL:-0.028, ZEN:-0.028, TRX:-0.028, DOGE:-0.028
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AAVE:0.078, DOT:0.064, SOL:0.045, LTC:0.035, SUSHI:0.031, ETH:0.031, SAND:0.026, ADA:0.021, RSR:0.020, GRT:-0.028, SXP:-0.028, THETA:-0.028, VET:-0.028, ATOM:-0.028, XTZ:-0.028, BTC:-0.028, AXS:-0.028, XLM:-0.028, RUNE:-0.028, ETC:-0.028, ZEN:-0.028, FIL:-0.028, TRX:-0.028, XRP:-0.028, DOGE:-0.028
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AAVE:0.095, SAND:0.065, DOT:0.050, SUSHI:0.031, SOL:0.031, SXP:0.023, SKL:0.023, ETH:0.023, AVAX:0.015, BCH:-0.028, IOTA:-0.028, AXS:-0.028, ATOM:-0.028, THETA:-0.028, BTC:-0.028, DOGE:-0.028, VET:-0.028, XTZ:-0.028, RUNE:-0.028, XLM:-0.028, ETC:-0.028, FIL:-0.028, ZEN:-0.028, TRX:-0.028, XRP:-0.028
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AAVE:0.149, SAND:0.048, SOL:0.038, SXP:0.024, COMP:0.024, DOT:0.022, ETH:0.022, SUSHI:0.019, SKL:0.016, BCH:-0.027, IOTA:-0.027, QTUM:-0.027, ATOM:-0.027, DOGE:-0.027, AXS:-0.027, XTZ:-0.027, BTC:-0.027, RUNE:-0.027, XRP:-0.027, VET:-0.027, ETC:-0.027, XLM:-0.027, ZEN:-0.027, FIL:-0.027, TRX:-0.027
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AAVE:0.133, SAND:0.088, SXP:0.030, SOL:0.020, COMP:0.020, TRB:0.019, SKL:0.017, DOT:0.016, BNB:0.015, UNI:-0.028, QTUM:-0.028, ATOM:-0.028, XTZ:-0.028, NEO:-0.028, DOGE:-0.028, RUNE:-0.028, BCH:-0.028, VET:-0.028, BTC:-0.028, ZEN:-0.028, ETC:-0.028, XRP:-0.028, XLM:-0.028, FIL:-0.028, TRX:-0.028
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AAVE:0.106, SAND:0.074, ATOM:0.033, SXP:0.033, COMP:0.029, BNB:0.024, SOL:0.020, TRB:0.019, THETA:0.018, QTUM:-0.028, UNI:-0.028, SUSHI:-0.028, LTC:-0.028, NEO:-0.028, RUNE:-0.028, ETC:-0.028, VET:-0.028, FIL:-0.028, BTC:-0.028, DOGE:-0.028, XRP:-0.028, BCH:-0.028, XLM:-0.028, ZEN:-0.028, TRX:-0.028
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SAND:0.075, ATOM:0.055, BNB:0.053, IOTA:0.048, AAVE:0.033, COMP:0.028, THETA:0.024, SOL:0.022, ADA:0.018, ETH:-0.028, GRT:-0.028, FIL:-0.028, CRV:-0.028, LTC:-0.028, NEO:-0.028, SUSHI:-0.028, UNI:-0.028, BCH:-0.028, DOGE:-0.028, XLM:-0.028, BTC:-0.028, ZEN:-0.028, RUNE:-0.028, XRP:-0.028, TRX:-0.028
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BNB:0.077, SAND:0.064, IOTA:0.064, ATOM:0.060, AAVE:0.025, QTUM:0.021, COMP:0.020, AVAX:0.014, THETA:0.014, TRB:-0.028, BCH:-0.028, LINK:-0.028, ETH:-0.028, NEO:-0.028, SUSHI:-0.028, CRV:-0.028, BTC:-0.028, GRT:-0.028, TRX:-0.028, UNI:-0.028, XLM:-0.028, ZEN:-0.028, DOGE:-0.028, RUNE:-0.028, XRP:-0.028
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BNB:0.073, ATOM:0.058, IOTA:0.055, ADA:0.042, SAND:0.033, QTUM:0.025, AVAX:0.015, ETC:0.014, SXP:0.013, COMP:0.013, AAVE:0.012, ALGO:0.011, SOL:0.011, XTZ:0.009, NEAR:0.008, FIL:0.008, CRV:-0.000, AXS:-0.000, BTC:-0.000, TRB:-0.000, SUSHI:-0.000, LINK:-0.000, ETH:-0.000, TRX:-0.000, RUNE:-0.400
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ADA:0.069, IOTA:0.066, BNB:0.060, AVAX:0.048, ATOM:0.031, QTUM:0.029, SXP:0.015, SOL:0.013, ALGO:0.011, NEAR:0.011, ETC:0.011, AAVE:0.009, SAND:0.009, COMP:0.007, XTZ:0.006, BTC:0.005, DOT:-0.000, VET:-0.000, CRV:-0.000, AXS:-0.000, GRT:-0.000, THETA:-0.000, NEO:-0.000, LINK:-0.000, RUNE:-0.400
