datetime,symbol,size,price,market_value,weight
2021-01-03T00:00:00,STORJ,0,0.298,0.0,0.0
2021-01-03T00:00:00,SUSHI,0,3.1224,0.0,0.0
2021-01-03T00:00:00,SXP,0,0.7853,0.0,0.0
2021-01-03T00:00:00,THETA,0,2.3325,0.0,0.0
2021-01-03T00:00:00,TRB,0,18.029,0.0,0.0
2021-01-03T00:00:00,TRX,0,0.02703,0.0,0.0
2021-01-03T00:00:00,UNI,0,4.7711,0.0,0.0
2021-01-03T00:00:00,VET,0,0.020356,0.0,0.0
2021-01-03T00:00:00,XLM,0,0.12724,0.0,0.0
2021-01-03T00:00:00,XMR,0,144.11,0.0,0.0
2021-01-03T00:00:00,XRP,0,0.2186,0.0,0.0
2021-01-03T00:00:00,XTZ,0,2.001,0.0,0.0
2021-01-03T00:00:00,YFI,0,21288.0,0.0,0.0
2021-01-03T00:00:00,ZEC,0,57.77,0.0,0.0
2021-01-03T00:00:00,ZEN,0,11.701,0.0,0.0
2021-01-03T00:00:00,ZIL,0,0.07531,0.0,0.0
2021-01-03T00:00:00,ZRX,0,0.3587,0.0,0.0
2021-01-04T00:00:00,1INCH,0,1.164,0.0,0.0
2021-01-04T00:00:00,AAVE,0,102.056,0.0,0.0
2021-01-04T00:00:00,ADA,0,0.21587,0.0,0.0
2021-01-04T00:00:00,ALGO,0,0.4441,0.0,0.0
2021-01-04T00:00:00,ALPHA,0,0.29349,0.0,0.0
2021-01-04T00:00:00,ATOM,84857,6.028,511517.996,0.4495606592437274
2021-01-04T00:00:00,AVAX,0,3.5756,0.0,0.0
2021-01-04T00:00:00,AXS,0,0.58863,0.0,0.0
2021-01-04T00:00:00,BAND,0,6.7262,0.0,0.0
2021-01-04T00:00:00,BAT,0,0.2233,0.0,0.0
2021-01-04T00:00:00,BCH,0,422.46,0.0,0.0
2021-01-04T00:00:00,BEL,0,0.918,0.0,0.0
2021-01-04T00:00:00,BNB,0,41.864,0.0,0.0
2021-01-04T00:00:00,BTC,0,32907.4,0.0,0.0
2021-01-04T00:00:00,COMP,0,154.11,0.0,0.0
2021-01-04T00:00:00,CRV,0,0.701,0.0,0.0
2021-01-04T00:00:00,DASH,0,91.11,0.0,0.0
2021-01-04T00:00:00,DOGE,0,0.01024,0.0,0.0
2021-01-04T00:00:00,DOT,0,10.264,0.0,0.0
2021-01-04T00:00:00,EGLD,0,27.677,0.0,0.0
2021-01-04T00:00:00,ENJ,0,0.13923,0.0,0.0
2021-01-04T00:00:00,ETC,0,6.649,0.0,0.0
2021-01-04T00:00:00,ETH,0,978.19,0.0,0.0
2021-01-04T00:00:00,FIL,0,21.907,0.0,0.0
2021-01-04T00:00:00,FLM,0,0.136,0.0,0.0
2021-01-04T00:00:00,GRT,0,0.30981,0.0,0.0
2021-01-04T00:00:00,ICX,0,0.4921,0.0,0.0
2021-01-04T00:00:00,IOST,0,0.005928,0.0,0.0
2021-01-04T00:00:00,IOTA,0,0.3174,0.0,0.0
2021-01-04T00:00:00,KAVA,0,1.4391,0.0,0.0
