2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SOL:0.226, XLM:0.212, KNC:0.204, QTUM:0.182, BAND:0.176
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> XRP:0.249, XLM:0.239, SOL:0.230, RLC:0.159, ALPHA:0.123
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> RLC:0.312, YFI:0.265, XRP:0.216, SKL:0.114, ZEC:0.093
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> RLC:0.325, YFI:0.300, XRP:0.171, SKL:0.104, AAVE:0.101
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> YFI:0.381, XRP:0.182, ENJ:0.172, RLC:0.133, AXS:0.132
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ALPHA:0.298, SOL:0.228, AXS:0.174, XRP:0.157, YFI:0.143
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ALPHA:0.450, SOL:0.177, XRP:0.145, YFI:0.125, AXS:0.103
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ALPHA:0.406, NEO:0.173, YFI:0.159, SOL:0.140, SUSHI:0.123
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> BTC:0.562, LTC:0.313, NEO:0.125, COMP:0.000, ETH:0.000
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SXP:0.309, NEO:0.239, SUSHI:0.168, LTC:0.153, RSR:0.131
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> RSR:0.535, BTC:0.448, SXP:0.017, NEAR:0.000, BNB:0.000
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ENJ:0.722, BAT:0.116, ALPHA:0.073, SXP:0.055, DOGE:0.033
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ENJ:1.000, FIL:0.000, XMR:0.000, NEAR:0.000, IOST:0.000
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ENJ:1.000, XMR:0.000, FIL:0.000, KSM:0.000, NEAR:0.000
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ENJ:0.349, SNX:0.212, BAND:0.188, EGLD:0.140, XMR:0.111
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ENJ:0.267, SNX:0.215, SUSHI:0.190, YFI:0.174, XLM:0.154
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SOL:0.343, AVAX:0.221, SUSHI:0.154, SXP:0.144, LRC:0.138
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SOL:0.443, AVAX:0.178, SUSHI:0.129, RLC:0.129, IOST:0.120
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> IOST:0.297, SOL:0.287, NEAR:0.169, RLC:0.134, BAND:0.113
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> IOST:0.342, NEAR:0.197, SOL:0.194, BAND:0.155, RLC:0.113
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> IOST:0.315, NEAR:0.269, BEL:0.228, BAND:0.138, ZIL:0.051
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> BEL:0.200, ZEC:0.200, ENJ:0.200, FIL:0.200, DOT:0.200
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DOGE:0.391, SXP:0.297, IOST:0.111, AVAX:0.102, DOT:0.098
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> AVAX:0.328, IOTA:0.205, SXP:0.176, DOGE:0.164, SUSHI:0.127
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> IOST:0.247, IOTA:0.199, AVAX:0.199, LRC:0.182, BAND:0.173
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> IOST:0.386, IOTA:0.175, AVAX:0.156, LRC:0.147, TRB:0.136
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> IOST:0.405, AVAX:0.193, KAVA:0.148, TRB:0.129, LRC:0.125
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> AVAX:0.239, TRB:0.204, YFI:0.194, IOST:0.192, KAVA:0.171
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> RLC:0.296, THETA:0.195, ICX:0.193, STORJ:0.167, YFI:0.148
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> RLC:0.333, RSR:0.181, IOTA:0.172, YFI:0.158, QTUM:0.156
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> RLC:0.234, RSR:0.223, IOST:0.216, STORJ:0.197, TRX:0.130
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ZRX:0.388, BCH:0.202, IOST:0.158, TRX:0.126, RSR:0.125
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ZRX:0.283, AVAX:0.231, BCH:0.218, KNC:0.137, RSR:0.130
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> BCH:0.297, ZRX:0.223, SOL:0.184, ETC:0.160, ZEC:0.135
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SOL:0.287, SNX:0.259, ALPHA:0.163, ENJ:0.148, LINK:0.143
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> IOST:0.246, BCH:0.207, ALPHA:0.196, LINK:0.184, SNX:0.167
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> IOST:0.264, QTUM:0.202, STORJ:0.200, SNX:0.172, 1INCH:0.161
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> STORJ:0.231, BCH:0.230, ETC:0.193, QTUM:0.181, FLM:0.165
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DASH:0.268, AAVE:0.211, COMP:0.186, 1INCH:0.185, SOL:0.149
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DASH:0.425, ETC:0.179, XMR:0.137, AAVE:0.133, BCH:0.126
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DASH:0.650, AAVE:0.115, COMP:0.099, KAVA:0.097, GRT:0.039
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DASH:1.000, XMR:0.000, ZIL:0.000, ETC:0.000, SNX:0.000
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ZEN:0.755, ZEC:0.214, DASH:0.031, SNX:0.000, XMR:0.000
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ZEN:0.549, ZEC:0.146, XMR:0.135, SNX:0.106, DASH:0.065
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ZEN:0.601, ZEC:0.176, XMR:0.143, SNX:0.054, BCH:0.026
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ZEN:0.470, XMR:0.143, ETC:0.139, SNX:0.126, NEO:0.121
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> NEO:0.476, FLM:0.183, ONT:0.143, AAVE:0.101, KSM:0.097
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> NEO:0.369, FLM:0.214, ONT:0.153, ZEN:0.136, QTUM:0.128
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> NEO:0.371, ONT:0.328, SOL:0.301, KSM:0.000, QTUM:0.000
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> EGLD:0.200, FIL:0.200, ZEC:0.200, BNB:0.200, SUSHI:0.200
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> FIL:0.200, EGLD:0.200, KSM:0.200, ZEC:0.200, AVAX:0.200
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ZEN:0.580, ZEC:0.265, KSM:0.057, ICX:0.057, EGLD:0.041
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ZEN:0.487, ZEC:0.191, DASH:0.113, XMR:0.106, AVAX:0.103
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ZEN:0.408, ZEC:0.191, AVAX:0.149, NEO:0.135, DASH:0.117
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ZEN:0.625, DASH:0.120, SKL:0.112, ZEC:0.085, AVAX:0.059
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> FIL:0.200, XRP:0.200, SKL:0.200, TRX:0.200, DOT:0.200
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> IOST:1.000, ICX:0.000, SKL:0.000, FIL:0.000, KNC:0.000
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> IOST:0.298, THETA:0.218, ICX:0.174, SOL:0.160, XMR:0.150
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> THETA:0.225, ZIL:0.203, DOGE:0.194, IOST:0.194, GRT:0.184
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> IOST:0.404, THETA:0.210, XLM:0.159, BCH:0.115, SOL:0.112
