2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DOGE:0.143, 1INCH:0.104, BNB:0.093, COMP:0.093, SUSHI:0.092, RUNE:0.088, SOL:0.082, BEL:0.074, FLM:0.067, EGLD:0.064
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> COMP:0.121, DOGE:0.114, SUSHI:0.106, SOL:0.091, FLM:0.083, BNB:0.082, 1INCH:0.081, DOT:0.077, AAVE:0.076, GRT:0.071
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SOL:0.126, COMP:0.116, BNB:0.105, SUSHI:0.103, AAVE:0.097, ZRX:0.091, 1INCH:0.080, FLM:0.061, SXP:0.061, KAVA:0.060
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ZRX:0.122, BNB:0.122, SOL:0.099, COMP:0.095, ADA:0.090, AAVE:0.080, ATOM:0.077, FLM:0.075, CRV:0.072, KAVA:0.067
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> BNB:0.159, ADA:0.135, ZRX:0.116, AVAX:0.090, EGLD:0.079, IOTA:0.077, SOL:0.066, QTUM:0.060, AAVE:0.060, ATOM:0.059
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> EGLD:0.152, ADA:0.113, AVAX:0.098, BNB:0.093, ZRX:0.085, NEAR:0.077, SOL:0.077, ATOM:0.076, AAVE:0.066, BAT:0.063
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> EGLD:0.140, IOTA:0.102, BNB:0.100, AVAX:0.098, BTC:0.085, SOL:0.085, ZRX:0.077, FIL:0.072, ADA:0.072, AAVE:0.069
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> EGLD:0.155, BNB:0.133, AVAX:0.115, FIL:0.096, ADA:0.078, ZRX:0.075, IOTA:0.072, SXP:0.062, ALGO:0.057, ATOM:0.057
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> AVAX:0.145, EGLD:0.111, BNB:0.110, ADA:0.109, QTUM:0.106, IOTA:0.096, SXP:0.061, ZRX:0.059, SOL:0.052, ETC:0.050
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> IOTA:0.122, GRT:0.102, AVAX:0.093, BAT:0.092, ZEC:0.089, ADA:0.086, BNB:0.085, SKL:0.081, TRX:0.076, ONT:0.075
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> IOTA:0.112, ALGO:0.108, GRT:0.107, AVAX:0.103, BNB:0.090, VET:0.082, NEAR:0.078, ONT:0.075, EGLD:0.073, ZEC:0.072
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DASH:0.125, ZEC:0.102, GRT:0.098, ZIL:0.089, ETC:0.085, ONT:0.084, IOTA:0.083, XMR:0.082, BCH:0.078, NEO:0.074
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ETC:0.100, DASH:0.095, NEO:0.094, FIL:0.094, BCH:0.092, AXS:0.091, IOTA:0.089, BNB:0.084, GRT:0.083, XMR:0.078
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DASH:0.133, GRT:0.102, ICX:0.098, ATOM:0.092, KSM:0.092, ZEC:0.087, ETC:0.079, IOTA:0.078, VET:0.069, NEO:0.069
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DASH:0.123, ATOM:0.109, KSM:0.101, GRT:0.096, ICX:0.083, ZEC:0.079, ETC:0.079, ZEN:0.079, IOTA:0.077, BCH:0.075
2025-10-09 16:06:16 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> XMR:0.116, ZEN:0.115, DASH:0.110, KSM:0.108, IOST:0.089, GRT:0.081, BCH:0.076, ZEC:0.073, ATOM:0.067, LTC:0.066
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> BNB:0.126, DASH:0.120, ZEN:0.108, IOST:0.108, ICX:0.096, KSM:0.088, BCH:0.069, XMR:0.066, AXS:0.066, ATOM:0.052
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> BNB:0.168, DASH:0.127, BTC:0.106, XMR:0.095, ZEN:0.084, KSM:0.079, DOT:0.074, NEO:0.058, SOL:0.057, ICX:0.052
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> BNB:0.203, UNI:0.141, BTC:0.111, DOT:0.097, ADA:0.089, KSM:0.071, SUSHI:0.050, ZEN:0.048, ICX:0.046, RUNE:0.044
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> BNB:0.191, IOST:0.149, BTC:0.100, DOT:0.095, KSM:0.084, SOL:0.065, ZEN:0.063, UNI:0.053, SXP:0.051, NEO:0.049
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SOL:0.190, BNB:0.160, IOST:0.142, DOT:0.078, ADA:0.077, UNI:0.062, BTC:0.056, ZEN:0.052, KSM:0.048, SXP:0.036
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SOL:0.312, IOST:0.196, BNB:0.170, RUNE:0.115, UNI:0.059, DOT:0.028, KSM:0.019, ADA:0.001
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SOL:0.360, BNB:0.142, ADA:0.078, DOGE:0.072, IOST:0.070, RUNE:0.064, UNI:0.058, DOT:0.027, KSM:0.015, COMP:0.012
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SOL:0.615, ADA:0.258, BNB:0.025, UNI:0.002
