2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> ADA:-0.075, ATOM:-0.075, BCH:-0.075, BEL:-0.075, BNB:-0.075, BTC:-0.075, CRV:-0.075, DOT:-0.075, ETC:-0.075, FIL:-0.075, IOST:-0.075, KAVA:-0.075
2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> ADA:-0.075, AVAX:-0.075, BAT:-0.075, DOGE:-0.075, DOT:-0.075, FLM:-0.075, ICX:-0.075, IOST:-0.075, KAVA:-0.075, SXP:-0.075, VET:-0.075, XLM:-0.075
2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:0.000, ADA:0.000, ALGO:0.000, ALPHA:0.000, AAVE:-0.113, AVAX:-0.113, EGLD:-0.113, GRT:-0.113, KSM:-0.113, SKL:-0.113, THETA:-0.113, ZRX:-0.113
2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> KAVA:0.075, BCH:-0.075, BNB:-0.075, BTC:-0.075, DASH:-0.075, FIL:-0.075, FLM:-0.075, IOTA:-0.075, KSM:-0.075, LTC:-0.075, NEO:-0.075, RUNE:-0.075
2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:-0.075, ADA:-0.075, AVAX:-0.075, AXS:-0.075, COMP:-0.075, CRV:-0.075, DASH:-0.075, ENJ:-0.075, ETH:-0.075, FIL:-0.075, FLM:-0.075, GRT:-0.075
2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> BTC:0.090, FIL:0.090, 1INCH:0.000, AAVE:0.000, ADA:-0.090, ALGO:-0.090, GRT:-0.090, ICX:-0.090, IOTA:-0.090, QTUM:-0.090, SOL:-0.090, SXP:-0.090
2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> DOGE:0.075, EGLD:0.075, CRV:-0.075, DASH:-0.075, ETC:-0.075, FLM:-0.075, IOST:-0.075, NEAR:-0.075, SNX:-0.075, SUSHI:-0.075, TRX:-0.075, UNI:-0.075
2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> AAVE:-0.075, ADA:-0.075, BCH:-0.075, BEL:-0.075, DASH:-0.075, DOGE:-0.075, ETC:-0.075, ETH:-0.075, IOTA:-0.075, LINK:-0.075, LTC:-0.075, NEAR:-0.075
2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> AVAX:0.075, DOGE:0.075, EGLD:0.075, SOL:0.075, 1INCH:-0.075, BCH:-0.075, LINK:-0.075, RLC:-0.075, RUNE:-0.075, SNX:-0.075, THETA:-0.075, XTZ:-0.075
2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> AAVE:0.113, AVAX:0.113, FLM:0.113, KAVA:0.113, SUSHI:0.113, TRB:0.113, 1INCH:0.000, ADA:0.000, ALGO:0.000, ALPHA:0.000, AXS:-0.113, BCH:-0.113
2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> RLC:0.300, 1INCH:0.000, AAVE:0.000, ADA:0.000, ALGO:0.000, ALPHA:0.000, ATOM:0.000, AVAX:0.000, AXS:0.000, BAND:0.000, IOTA:-0.300, KSM:-0.300
2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:0.075, AAVE:0.075, ALGO:0.075, AVAX:0.075, AXS:0.075, BAND:0.075, COMP:0.075, DASH:0.075, GRT:0.075, NEO:0.075, RLC:0.075, RSR:0.075
2025-10-10 17:15:06 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> AAVE:-0.075, ADA:-0.075, ALPHA:-0.075, BAND:-0.075, COMP:-0.075, CRV:-0.075, DOT:-0.075, ETH:-0.075, GRT:-0.075, LINK:-0.075, LRC:-0.075, NEAR:-0.075
2025-10-10 17:15:06 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:0.100, AAVE:0.100, LRC:0.100, ADA:0.000, ALGO:0.000, ALPHA:0.000, BNB:-0.100, ICX:-0.100, IOST:-0.100, KAVA:-0.100, SXP:-0.100, TRX:-0.100
2025-10-10 17:15:06 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:0.075, AAVE:0.075, ALPHA:0.075, AVAX:0.075, BAT:0.075, COMP:0.075, CRV:0.075, DOGE:0.075, EGLD:0.075, ATOM:-0.075, BTC:-0.075, DOT:-0.075
2025-10-10 17:15:06 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> ATOM:0.075, AVAX:0.075, AXS:0.075, BAT:0.075, BCH:0.075, BEL:0.075, DASH:0.075, ENJ:0.075, ETH:0.075, FIL:0.075, ICX:0.075, IOTA:0.075
2025-10-10 17:15:06 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:0.075, ADA:0.075, ALGO:0.075, ATOM:0.075, AVAX:0.075, BAND:0.075, BEL:0.075, COMP:0.075, CRV:0.075, DASH:0.075, DOT:0.075, ETH:0.075
2025-10-10 17:15:06 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> IOST:0.180, 1INCH:0.000, AAVE:0.000, ALGO:0.000, ALPHA:0.000, AVAX:0.000, AXS:0.000, BAND:0.000, ADA:-0.180, ATOM:-0.180, SOL:-0.180, SUSHI:-0.180
2025-10-10 17:15:06 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:0.000, AAVE:0.000, ADA:0.000, ALGO:0.000, ALPHA:0.000, ATOM:0.000, AVAX:0.000, AXS:0.000, BAND:0.000, BAT:0.000, RSR:-0.450, RUNE:-0.450
2025-10-10 17:15:06 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:0.000, AAVE:0.000, ALGO:0.000, ATOM:0.000, AVAX:0.000, ADA:-0.129, ALPHA:-0.129, BEL:-0.129, ENJ:-0.129, NEAR:-0.129, TRX:-0.129, ZEC:-0.129
2025-10-10 17:15:06 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> AAVE:0.075, ALGO:0.075, ALPHA:0.075, ATOM:0.075, AVAX:0.075, BAND:0.075, BAT:0.075, BCH:0.075, BEL:0.075, BNB:0.075, BTC:0.075, COMP:0.075
