2025-10-10 17:00:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ZRX:0.143, DOGE:0.090, SNX:0.076, KAVA:0.071, SXP:0.060, ETH:-0.055, DASH:-0.057, LTC:-0.061, ZEC:-0.066, BCH:-0.068, XMR:-0.069, YFI:-0.084
2025-10-10 17:00:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> IOST:0.063, ATOM:0.063, BAT:0.059, STORJ:0.056, ETC:0.054, IOTA:0.054, FIL:0.053, SXP:-0.058, DOGE:-0.077, XRP:-0.106, SOL:-0.108, SUSHI:-0.149
2025-10-10 17:00:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> IOTA:0.104, ICX:0.098, ADA:0.092, DOGE:0.089, QTUM:0.075, BNB:0.058, UNI:-0.056, SUSHI:-0.057, CRV:-0.058, COMP:-0.063, SOL:-0.074, BEL:-0.076
2025-10-10 17:00:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> EGLD:0.188, NEAR:0.115, AVAX:0.095, BAT:0.049, GRT:0.044, BTC:-0.048, IOTA:-0.049, ETC:-0.058, IOST:-0.060, ICX:-0.062, ETH:-0.062, BNB:-0.070
2025-10-10 17:00:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.073, XMR:0.071, FIL:0.070, IOTA:0.062, RUNE:0.057, SKL:0.054, SXP:-0.063, GRT:-0.066, ADA:-0.071, COMP:-0.076, NEAR:-0.119, ZRX:-0.119
2025-10-10 17:00:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ZEN:0.087, ZIL:0.081, FIL:0.073, BNB:0.069, NEO:0.058, ZEC:0.054, SKL:-0.057, IOTA:-0.058, BTC:-0.064, ZRX:-0.067, AAVE:-0.094, DOGE:-0.138
2025-10-10 17:00:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> QTUM:0.155, ICX:0.085, ADA:0.071, TRB:0.063, AVAX:0.062, KNC:0.059, BEL:-0.053, BTC:-0.059, CRV:-0.060, FIL:-0.065, ZRX:-0.076, EGLD:-0.093
2025-10-10 17:00:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> GRT:0.068, ZEC:0.061, SKL:0.060, BAT:0.060, VET:0.058, BAND:0.053, DOGE:-0.057, BNB:-0.066, ADA:-0.070, QTUM:-0.102, AVAX:-0.111, EGLD:-0.134
2025-10-10 17:00:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> NEAR:0.112, ALGO:0.079, LINK:0.074, XLM:0.069, ATOM:0.059, ZEN:-0.062, SKL:-0.065, TRX:-0.066, ZRX:-0.070, RUNE:-0.071, ADA:-0.078, BTC:-0.094
2025-10-10 17:00:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> DASH:0.134, ETC:0.084, BCH:0.078, ZEN:0.076, ZIL:0.067, XMR:0.055, FIL:-0.057, NEAR:-0.058, ALGO:-0.062, AVAX:-0.068, SOL:-0.075, EGLD:-0.084
2025-10-10 17:00:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> FIL:0.299, AXS:0.146, RLC:0.063, IOST:-0.039, BEL:-0.041, DASH:-0.041, SXP:-0.042, RUNE:-0.043, SNX:-0.045, RSR:-0.045, ZIL:-0.048, ZEC:-0.048
2025-10-10 17:00:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> KSM:0.207, SUSHI:0.153, ATOM:0.115, NEO:-0.041, XRP:-0.041, TRX:-0.042, YFI:-0.042, QTUM:-0.044, ETC:-0.048, BNB:-0.053, RLC:-0.055, FIL:-0.059
2025-10-10 17:00:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BEL:0.157, ZEN:0.141, BTC:0.105, DOT:0.080, GRT:-0.045, ICX:-0.049, DASH:-0.050, XRP:-0.050, SOL:-0.051, SKL:-0.056, IOTA:-0.057, SUSHI:-0.059
